2, 4, 11.22, 3.00
1, 6, 16.57, 3.00
1, 3, 18.73, 7.00
2, 4, 24.32, 7.00
2, 0, 0.00, 3.50
1, 5, 16.17, 3.50
1, 5, 11.42, 2.50
2, 2, 4.62, 2.50
1, 0, 0.00, 4.00
2, 4, 14.62, 4.00
1, 0, 0.00, 0.23
2, 0, 0.00, 0.23
1, 7, 9.69, 1.50
2, 3, 4.19, 1.50
2, 2, 18.16, 10.00
1, 3, 26.20, 10.00
2, 4, 7.29, 2.00
1, 6, 10.87, 2.00
2, 3, 13.98, 5.00
1, 1, 4.74, 5.00
1, 6, 30.20, 6.00
2, 3, 16.22, 6.00
1, 4, 1.88, 0.50
2, 7, 3.29, 0.50
1, 4, 27.47, 8.00
2, 3, 21.31, 8.00
1, 2, 16.49, 9.00
2, 4, 30.63, 9.00
2, 6, 5.48, 1.00
1, 0, 0.00, 1.00
2, 0, 0.00, 2.00
1, 4, 7.29, 2.00
2, 2, 18.16, 10.00
1, 4, 33.26, 10.00
2, 3, 11.07, 4.00
1, 0, 0.00, 4.00
2, 5, 25.87, 6.00
1, 4, 21.21, 6.00
1, 6, 13.63, 2.50
2, 4, 9.18, 2.50
1, 4, 24.32, 7.00
2, 4, 24.32, 7.00
2, 4, 11.22, 3.00
1, 6, 16.57, 3.00
1, 3, 21.31, 8.00
2, 5, 33.02, 8.00
2, 3, 23.94, 9.00
1, 5, 36.50, 9.00
2, 4, 3.66, 1.00
1, 1, 0.92, 1.00
1, 0, 0.00, 5.00
2, 3, 13.98, 5.00
2, 4, 13.06, 3.50
1, 5, 16.17, 3.50
2, 0, 0.00, 0.23
1, 0, 0.00, 0.23
2, 0, 0.00, 0.50
1, 4, 1.88, 0.50
1, 4, 5.57, 1.50
2, 0, 0.00, 1.50
1, 2, 3.66, 2.00
2, 2, 3.66, 2.00
1, 4, 9.18, 2.50
2, 5, 11.42, 2.50
2, 6, 19.19, 3.50
1, 4, 13.06, 3.50
2, 4, 18.37, 5.00
1, 6, 26.47, 5.00
2, 0, 0.00, 10.00
1, 0, 0.00, 10.00
1, 6, 2.82, 0.50
2, 3, 1.41, 0.50
2, 0, 0.00, 0.23
1, 0, 0.00, 0.23
1, 0, 0.00, 4.00
2, 8, 27.55, 4.00
1, 3, 4.19, 1.50
2, 5, 6.96, 1.50
2, 6, 41.61, 9.00
1, 4, 30.63, 9.00
1, 4, 24.32, 7.00
2, 6, 34.14, 7.00
2, 2, 5.67, 3.00
1, 4, 11.22, 3.00
2, 2, 1.83, 1.00
1, 5, 4.57, 1.00
2, 4, 21.21, 6.00
1, 5, 25.87, 6.00
1, 6, 37.95, 8.00
2, 5, 33.02, 8.00
