Direction,Letter Height (degrees),Eccentricity (degrees)
1,0.40000000000000013,15
1,0.30000000000000004,10
1,0.5000000000000001,35
1,0.4,25
1,0.40000000000000024,30
1,0.3000000000000001,40
1,0.30000000000000004,20
4,0.8999999999999999,20
4,0.9000000000000001,25
4,0.30000000000000004,10
4,0.40000000000000024,15
4,1.4,30
2,0.40000000000000013,20
2,0.30000000000000004,10
2,0.2000000000000002,15
2,0.7000000000000002,25
2,0.8,30
3,0.5,25
3,0.20000000000000004,10
3,1.1,35
3,0.4,15
3,0.40000000000000013,20
3,0.4000000000000001,30
3,1.0,40
