Subject, Date, Protocol, Truncated Mean, Truncated SD, Truncated N, Standard Error
OFBL, 2-13-20, T1, 0.3209, 0.1153, 72, 0.013588
OFBL, 2-13-20, Isolated Character, 0.0243, 0.0094, 16, 0.002347
ABCD_MOCK, 2-4-20, T1, 0.2984, 0.1205, 74, 0.014006
ABCD_MOCK, 2-4-20, Isolated Character, 0.0368, 0.0127, 16, 0.003165
ASBA_MOCK, 2-21-20, Crowded Periphery, 0.0860, 0.0282, 15, 0.007294
ASBA_MOCK, 2-21-20, Crowded Periphery Outer, 0.0737, 0.0312, 16, 0.007804
ASBA_MOCK, 2-21-20, Isolated Character, 0.0315, 0.0126, 16, 0.003148
CNPC, 2-10-20, T1, 0.2928, 0.0535, 70, 0.006397
CNPC, 2-10-20, Isolated Character, 0.0364, 0.0089, 15, 0.002294
IZCH, 2-7-20, T1, 0.3267, 0.0964, 82, 0.010645
IZCH, 2-7-20, Isolated Character, 0.0450, 0.0171, 16, 0.004282
JAEN, 2-21-20, Crowded Center 9x9, 0.0929, 0.0078, 15, 0.002014
JAEN, 2-21-20, Crowded Center 3x3, 0.0898, 0.0139, 16, 0.003476
JAEN, 2-21-20, Isolated Character, 0.0716, 0.0311, 16, 0.007767
JANE, 2-27-20, Crowded Center 9x9, 0.0207, 0.0052, 14, 0.001398
JANE, 2-27-20, Crowded Center 3x3, 0.0276, 0.0071, 14, 0.001887
LKAJ, 2-25-20, Crowded Periphery, 0.0856, 0.0267, 16, 0.006673
LKAJ, 2-25-20, Crowded Periphery Outer, 0.1166, 0.0522, 15, 0.013484
LKAJ, 2-25-20, Isolated Character, 0.0348, 0.0132, 17, 0.003205
MMNK, 2-11-20, T1, 0.2950, 0.1081, 71, 0.012825
MMNK, 2-11-20, Isolated Character, 0.0369, 0.0213, 16, 0.005316
NICK-MOCK, 2-14-20, T1, 0.3575, 0.1325, 82, 0.014633
NICK-MOCK, 2-14-20, Isolated Character, 0.0426, 0.0092, 15, 0.002378
SABA, 2-19-20, Crowded Center 9x9, 0.0309, 0.0132, 16, 0.003309
SABA, 2-19-20, Crowded Center 3x3, 0.0300, 0.0138, 16, 0.003459
SABA, 2-19-20, Isolated Character, 0.0291, 0.0101, 16, 0.002528
SABAM, 2-14-20, T1, 0.2482, 0.0755, 79, 0.008495
SABAM, 2-14-20, Isolated Character, 0.0267, 0.0091, 15, 0.002340
SABAi, 2-27-20, Crowded Center 9x9, 0.0259, 0.0093, 14, 0.002484
SABAi, 2-27-20, Crowded Center 3x3, 0.0273, 0.0091, 14, 0.002429
SABAi, 2-27-20, Isolated Character, 0.0377, 0.0144, 16, 0.003610
AVG, 02-12-20, T1, 0.3209, 0.1153, 72, 0.013588
AVG, 02-12-20, Crowded Periphery, 0.0856, 0.0267, 16, 0.006673
AVG, 02-12-20, Crowded Periphery Outer, 0.1166, 0.0522, 15, 0.013484
AVG, 02-12-20, Crowded Center 9x9, 0.0259, 0.0093, 14, 0.002484
AVG, 02-12-20, Crowded Center 3x3, 0.0273, 0.0091, 14, 0.002429
AVG, 02-12-20, Isolated Character, 0.0377, 0.0144, 16, 0.003610
